,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
Oil,1.0,0.49836266117679806,0.4105813509580456,0.4050534677348619,0.3584896373556288,0.6094366078201647,0.14577922457596457,0.13131174802933754,-0.03494194627332939,0.000294629046388125,-0.015913239319421853,-0.12359886933323597
Banks,0.49836266117679806,1.0,0.6387078888830001,0.5815908893331913,0.6757288176184946,0.79003929695185,0.20015433896026974,0.15543242212578567,-0.10073047457624097,-0.138815468970639,0.010085608205873356,-0.29433423685338345
Txtls,0.4105813509580456,0.6387078888830001,1.0,0.6281192010186327,0.6267976015264456,0.6778059878949655,0.46155307332051,0.12603656735179652,-0.05175971916666858,-0.08428846446554662,-0.023791591848252535,-0.3086905611080278
Toys,0.4050534677348619,0.5815908893331913,0.6281192010186327,1.0,0.660136456950255,0.7175349974111961,0.41738736794710485,-0.10444487132813958,-0.05817688201391236,-0.23987789232045575,-0.02201784865071537,-0.20328106226095535
Rtail,0.3584896373556288,0.6757288176184946,0.6267976015264456,0.660136456950255,1.0,0.8229698535894778,0.24941243912945435,-0.20476742118627136,-0.03515906916246617,-0.3401476358457764,-0.010896277718865543,-0.18108508914665422
Mkt-RF,0.6094366078201647,0.79003929695185,0.6778059878949655,0.7175349974111961,0.8229698535894778,1.0,0.27137132631733374,-0.2097357428237625,-0.19366072031057524,-0.35638530010214914,-0.08170904342706062,-0.16450567693158058
SMB,0.14577922457596457,0.20015433896026974,0.46155307332051,0.41738736794710485,0.24941243912945435,0.27137132631733374,1.0,0.016322860474897293,-0.3334957775667093,-0.07553481085749064,-0.03727247770438083,-0.08094382356371514
HML,0.13131174802933754,0.15543242212578567,0.12603656735179652,-0.10444487132813958,-0.20476742118627136,-0.2097357428237625,0.016322860474897293,1.0,0.09103357570761306,0.6813048101445316,0.06266942042108985,-0.19276048810794597
RMW,-0.03494194627332939,-0.10073047457624097,-0.05175971916666858,-0.05817688201391236,-0.03515906916246617,-0.19366072031057524,-0.3334957775667093,0.09103357570761306,1.0,0.012353916466095703,-0.0076955786553894725,0.07134071380860399
CMA,0.000294629046388125,-0.138815468970639,-0.08428846446554662,-0.23987789232045575,-0.3401476358457764,-0.35638530010214914,-0.07553481085749064,0.6813048101445316,0.012353916466095703,1.0,0.05054997582164801,-0.019500687569315795
RF,-0.015913239319421853,0.010085608205873356,-0.023791591848252535,-0.02201784865071537,-0.010896277718865543,-0.08170904342706062,-0.03727247770438083,0.06266942042108985,-0.0076955786553894725,0.05054997582164801,1.0,0.06526618341953974
Mom,-0.12359886933323597,-0.29433423685338345,-0.3086905611080278,-0.20328106226095535,-0.18108508914665422,-0.16450567693158058,-0.08094382356371514,-0.19276048810794597,0.07134071380860399,-0.019500687569315795,0.06526618341953974,1.0
