Date,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1963-07-01,2.34,-1.58,3.52,-4.89,-1.08,-0.39,-0.48,-0.81,0.64,-1.15,0.27,1.01
1963-08-01,3.85,4.15,4.3,4.81,6.65,5.08,-0.8,1.7,0.4,-0.38,0.25,1.0
1963-09-01,-3.62,-3.13,-1.13,-5.3,1.11,-1.57,-0.43,0.0,-0.78,0.15,0.27,0.12
1963-10-01,-0.52,-1.29,5.74,15.38,0.45,2.54,-1.34,-0.04,2.79,-2.25,0.29,3.13
1963-11-01,-1.18,-3.31,2.02,-1.17,-1.08,-0.86,-0.85,1.73,-0.43,2.27,0.27,-0.77
1963-12-01,4.65,2.84,3.33,-2.34,0.34,1.83,-1.89,-0.21,0.12,-0.25,0.29,1.84
1964-01-01,4.86,-3.55,2.27,-0.89,2.79,2.27,0.1,1.63,0.21,1.48,0.3,0.81
1964-02-01,1.09,4.22,3.73,2.35,1.58,1.55,0.33,2.81,0.11,0.81,0.26,0.33
1964-03-01,1.45,0.75,0.46,3.71,2.28,1.41,1.41,3.29,-2.03,2.98,0.31,0.73
1964-04-01,4.24,-2.11,-0.51,-5.75,3.07,0.11,-1.48,-0.54,-1.32,-1.13,0.29,-0.64
1964-05-01,2.17,-0.73,5.73,-6.0,4.19,1.41,-0.62,1.81,-0.15,0.13,0.26,2.53
1964-06-01,0.72,-2.05,-0.37,-1.14,3.92,1.27,0.13,0.68,-0.33,0.1,0.3,0.47
1964-07-01,3.37,0.63,5.82,-0.17,1.09,1.74,0.5,0.79,0.15,1.85,0.3,-0.37
1964-08-01,-1.89,-2.21,-1.93,-6.14,0.59,-1.44,0.29,0.07,0.15,0.31,0.28,-0.24
1964-09-01,3.03,2.17,4.38,7.13,3.49,2.69,-0.34,1.72,-0.5,0.56,0.28,-0.39
1964-10-01,3.12,-2.17,7.34,2.27,2.3,0.6,0.9,1.08,-0.2,0.52,0.29,0.19
1964-11-01,2.59,-1.34,0.35,-2.65,3.32,-0.01,-0.24,-2.04,0.71,-0.16,0.29,1.1
1964-12-01,-0.24,-1.02,0.61,-1.05,0.12,0.04,-0.65,-2.43,0.95,-1.55,0.31,-0.7
1965-01-01,0.28,1.94,8.48,9.2,2.74,3.54,2.5,0.36,0.94,-0.02,0.28,-1.39
1965-02-01,-3.45,2.48,2.06,7.02,1.35,0.44,3.24,0.22,0.26,-0.62,0.3,0.24
1965-03-01,-3.1,0.05,1.03,4.43,-0.95,-1.34,2.08,1.15,-0.29,0.65,0.36,0.17
1965-04-01,0.91,3.53,8.98,4.55,7.02,3.11,1.14,0.73,0.29,-2.27,0.31,2.53
1965-05-01,0.93,-1.38,-1.21,3.89,0.34,-0.78,0.05,-1.55,-0.42,0.59,0.31,0.56
1965-06-01,-1.96,-6.04,-7.93,-9.04,-6.13,-5.51,-4.2,0.23,0.24,0.43,0.35,-3.18
1965-07-01,1.86,2.28,2.97,7.47,-1.84,1.44,1.1,2.19,-1.41,-0.08,0.31,4.09
1965-08-01,1.51,6.24,6.07,8.95,2.1,2.73,2.77,-0.98,2.03,-0.81,0.33,2.57
1965-09-01,4.45,-1.15,5.04,13.84,-1.17,2.86,0.7,-0.14,-0.85,0.73,0.31,3.28
1965-10-01,1.58,-1.45,5.25,13.8,0.06,2.6,3.45,1.55,1.19,-0.76,0.31,3.44
1965-11-01,0.73,-0.93,7.64,13.46,1.11,-0.02,5.22,0.16,-1.08,-0.87,0.35,4.41
1965-12-01,0.17,-1.39,1.71,1.86,1.17,1.01,2.62,2.15,-1.3,-0.55,0.33,-0.1
1966-01-01,1.02,-0.97,8.43,14.08,-5.16,0.72,4.85,3.27,-2.65,-0.26,0.38,5.25
1966-02-01,-3.56,-3.89,0.49,8.64,-2.15,-1.21,4.79,0.38,-0.16,-1.45,0.35,4.59
1966-03-01,-2.29,-4.45,-4.54,5.0,-2.29,-2.51,0.21,-2.13,1.29,-0.05,0.38,1.46
1966-04-01,3.2,-1.74,0.68,5.98,2.48,2.13,3.33,-0.36,0.42,-0.92,0.34,5.93
1966-05-01,-3.79,-1.28,-8.59,-14.29,-2.49,-5.67,-5.11,-1.6,1.64,-1.48,0.41,-4.73
1966-06-01,-2.14,-1.65,-1.99,-6.22,-2.65,-1.44,1.32,0.49,0.08,0.79,0.38,3.24
1966-07-01,0.35,-2.36,-5.23,-4.29,-1.83,-1.63,-0.38,0.91,-0.38,1.74,0.35,-1.3
1966-08-01,-6.61,-9.42,-9.76,0.04,-6.0,-7.94,-3.15,0.5,-0.64,0.77,0.41,-2.21
1966-09-01,3.96,-0.22,-6.92,-15.61,-1.71,-1.06,-1.02,0.48,-1.19,2.35,0.4,-1.87
1966-10-01,8.58,11.44,-6.09,-12.73,-1.47,3.86,-6.48,2.74,-3.91,4.23,0.45,-5.2
1966-11-01,-1.26,3.84,-2.52,2.11,0.3,1.38,3.34,-4.63,4.66,-6.51,0.4,5.76
1966-12-01,-0.75,5.4,2.51,-6.72,-4.79,0.13,1.88,-0.95,0.17,-0.16,0.4,0.99
1967-01-01,3.52,12.18,13.03,20.34,11.52,8.15,8.98,2.36,1.29,-3.06,0.43,-6.94
1967-02-01,-0.15,-2.37,3.86,0.6,2.56,0.77,3.01,-2.26,1.66,-0.93,0.36,3.51
1967-03-01,3.51,1.15,2.09,-4.92,1.94,4.0,1.77,0.47,0.82,-1.5,0.39,1.39
1967-04-01,1.63,0.54,6.97,12.55,9.79,3.89,0.43,-2.29,3.09,-3.72,0.32,0.52
1967-05-01,-2.48,-6.09,-2.17,-10.7,-5.4,-4.32,2.45,0.8,-1.19,1.62,0.33,0.65
1967-06-01,2.21,1.07,-0.89,8.87,3.37,2.42,6.42,0.8,-0.84,-2.49,0.27,6.01
1967-07-01,6.98,10.77,8.33,7.75,6.23,4.58,3.58,2.75,0.45,2.66,0.32,-1.08
1967-08-01,-1.52,2.01,2.47,0.25,0.47,-0.9,0.77,1.43,0.3,1.35,0.31,-1.33
1967-09-01,4.23,2.14,10.36,5.48,1.78,3.11,2.43,-2.47,0.22,-0.93,0.32,2.39
1967-10-01,-0.99,-5.03,-2.8,-2.28,0.58,-3.08,0.57,-3.29,0.97,-2.74,0.39,3.64
1967-11-01,0.84,-2.37,-0.77,-5.26,0.62,0.37,-0.06,-1.71,1.31,-2.28,0.36,1.22
1967-12-01,3.02,3.8,1.85,1.01,2.72,3.05,5.59,-0.54,-0.74,-0.03,0.33,3.21
1968-01-01,-0.95,5.56,2.42,-4.43,1.29,-4.03,4.68,4.85,-4.89,6.46,0.4,-4.49
1968-02-01,-2.62,0.85,-2.05,-1.83,0.05,-3.74,-2.92,1.23,-0.08,2.46,0.39,-3.36
1968-03-01,0.69,1.81,-1.2,4.71,3.15,0.21,-1.55,-0.63,1.07,-1.15,0.38,3.19
1968-04-01,5.62,9.81,12.58,14.7,11.8,9.01,6.17,-1.1,2.79,-3.73,0.43,5.13
1968-05-01,1.13,5.88,5.41,6.06,2.71,2.28,6.97,0.82,0.49,-1.92,0.45,3.77
1968-06-01,1.88,8.44,-2.29,-5.97,0.62,0.7,-0.33,0.66,-1.56,2.8,0.43,-2.1
1968-07-01,5.35,3.49,-4.03,-4.75,-5.01,-2.69,-1.39,5.31,-3.18,3.79,0.48,-0.88
1968-08-01,1.3,4.21,8.61,2.35,2.33,1.35,2.33,0.99,-0.66,0.47,0.42,1.93
1968-09-01,3.49,7.7,7.58,11.14,7.64,4.05,2.81,0.3,-1.94,0.87,0.43,-0.68
1968-10-01,2.65,2.73,2.11,-0.43,0.33,0.44,-0.43,2.82,-1.36,2.84,0.44,-1.44
1968-11-01,5.63,2.83,5.12,5.52,4.59,5.42,2.39,-0.96,0.44,-2.51,0.42,1.79
1968-12-01,-2.56,-8.68,-3.38,-4.1,-4.97,-3.93,3.55,0.04,-1.91,1.93,0.43,0.32
1969-01-01,-1.17,0.44,-4.31,-3.26,-0.7,-1.25,-0.42,1.66,-1.52,1.29,0.53,-0.13
1969-02-01,-4.93,-7.19,-7.98,-7.12,-2.88,-5.86,-4.16,0.89,1.99,0.75,0.46,-2.5
1969-03-01,7.47,4.19,-3.19,3.88,5.59,2.67,-0.51,-0.42,-1.34,-0.44,0.46,4.06
1969-04-01,-0.28,3.83,-0.17,6.75,3.85,1.47,-0.78,0.02,0.28,-0.16,0.53,1.1
1969-05-01,4.03,-4.19,0.85,-2.65,0.91,-0.1,-0.18,0.62,-0.87,1.05,0.48,1.77
1969-06-01,-9.93,-6.85,-10.24,-10.99,-4.24,-7.18,-5.47,-1.1,4.27,-1.63,0.51,-2.3
1969-07-01,-9.73,-6.62,-6.14,-7.88,-8.2,-7.0,-3.39,1.18,1.51,1.84,0.53,1.81
1969-08-01,6.64,12.76,4.16,6.42,8.21,4.69,0.58,-3.75,1.06,-3.98,0.5,2.1
1969-09-01,-9.71,-2.94,-3.03,2.14,-0.73,-2.97,1.29,-3.22,3.36,-0.62,0.62,2.41
1969-10-01,-1.13,10.75,6.78,6.29,6.26,5.05,3.91,-3.12,0.08,-2.08,0.6,-4.36
1969-11-01,-4.61,-8.99,-4.23,-8.39,-4.07,-3.8,-2.42,-1.25,1.4,0.21,0.52,3.68
1969-12-01,-3.07,-0.72,-5.56,-6.41,-2.81,-2.63,-3.72,-2.88,2.55,-1.92,0.64,5.27
1970-01-01,-11.58,-7.52,-4.68,-8.02,-5.89,-8.11,3.08,3.17,-1.75,3.96,0.6,0.56
1970-02-01,5.24,15.55,5.07,6.04,6.05,5.14,-2.57,3.69,-2.41,2.87,0.62,0.27
1970-03-01,-0.4,-1.22,1.12,-2.82,-0.92,-1.06,-2.42,4.08,-1.06,4.42,0.57,-0.37
1970-04-01,-9.09,-10.93,-7.72,-19.88,-10.01,-10.99,-6.34,6.14,-0.63,5.9,0.5,-0.83
1970-05-01,2.64,-6.49,-10.12,-7.91,-9.39,-6.91,-4.46,3.32,-1.29,3.79,0.53,-2.66
1970-06-01,-2.41,0.61,-2.57,-11.67,-3.7,-5.8,-2.1,0.44,0.14,2.71,0.58,5.63
1970-07-01,12.84,6.65,10.63,12.52,11.78,6.92,-0.66,0.93,-0.3,1.72,0.52,-3.11
1970-08-01,6.69,6.4,4.38,11.46,5.08,4.5,1.44,1.41,0.57,-0.14,0.53,-6.73
1970-09-01,2.99,-0.4,5.87,6.23,6.82,4.18,8.5,-5.41,0.25,-5.98,0.54,-8.64
1970-10-01,2.92,-5.23,-1.92,-4.35,-0.89,-2.28,-4.36,0.21,1.81,2.25,0.46,9.46
1970-11-01,4.91,4.7,2.73,6.54,7.77,4.62,-3.88,1.58,1.53,1.39,0.46,2.6
1970-12-01,2.2,8.22,13.35,5.2,4.88,5.74,2.89,1.04,0.28,0.3,0.42,-2.29
1971-01-01,0.26,0.52,5.94,10.41,7.84,4.83,7.44,1.55,-2.02,-0.06,0.38,-6.85
1971-02-01,4.85,1.08,6.31,5.79,3.57,1.41,2.01,-1.24,0.64,-0.8,0.33,0.83
1971-03-01,2.66,10.24,-0.43,9.39,6.27,4.12,2.22,-3.95,1.78,-2.65,0.3,-1.36
1971-04-01,4.34,-2.12,-0.04,8.47,5.57,3.15,-0.36,0.86,-1.46,0.85,0.28,1.34
1971-05-01,-4.72,-7.14,-3.58,-1.22,-2.01,-4.0,-1.12,-1.33,1.49,0.2,0.29,0.93
1971-06-01,0.98,-2.06,-6.49,2.15,-0.11,-0.09,-1.51,-1.97,1.58,-1.67,0.37,2.69
1971-07-01,-2.01,-2.04,-4.49,-10.8,-2.88,-4.49,-1.43,-0.02,0.58,1.39,0.4,-2.32
1971-08-01,-1.31,5.64,7.67,9.47,6.29,3.79,-0.23,2.64,-0.43,2.59,0.47,3.45
1971-09-01,-1.56,1.57,-0.4,-3.58,0.53,-0.86,0.26,-2.9,2.54,-1.58,0.37,2.1
1971-10-01,-4.28,1.48,-8.61,-6.78,-3.54,-4.42,-1.59,-0.51,1.56,-1.39,0.37,0.5
1971-11-01,0.1,2.21,-5.2,0.18,0.36,-0.46,-2.86,-1.67,2.41,-0.44,0.37,1.51
1971-12-01,8.75,6.28,14.9,11.79,9.75,8.71,3.24,-0.38,-0.43,-1.68,0.37,-0.61
1972-01-01,0.04,0.34,6.98,7.27,-0.92,2.47,6.09,2.12,-1.69,0.54,0.29,0.07
1972-02-01,2.69,-0.79,1.93,7.36,5.63,2.87,0.87,-2.83,1.69,-0.5,0.25,2.53
1972-03-01,-5.38,5.84,-0.24,0.06,2.18,0.62,-0.47,-1.61,1.58,-0.2,0.27,2.94
1972-04-01,-0.77,2.38,-1.62,-0.62,-1.27,0.29,0.27,0.03,-0.41,-1.06,0.29,2.79
1972-05-01,3.81,-2.39,-2.94,4.88,1.45,1.29,-3.12,-2.72,2.4,-1.97,0.3,3.33
1972-06-01,-0.75,-0.5,0.66,-3.34,-4.44,-2.46,-0.43,-2.46,1.78,-0.35,0.29,1.9
1972-07-01,-0.92,3.44,-2.75,-5.0,-2.06,-0.8,-2.79,0.6,1.2,-0.71,0.31,2.68
1972-08-01,12.49,7.66,-2.3,-2.95,-0.61,3.27,-3.46,4.56,-2.04,2.9,0.29,-5.36
1972-09-01,-0.09,1.17,-3.57,-2.61,-0.21,-1.14,-2.24,0.49,1.65,-1.97,0.34,1.82
1972-10-01,3.17,0.66,0.93,-1.98,0.73,0.52,-2.55,1.22,-0.11,0.03,0.4,0.7
1972-11-01,6.13,-0.76,9.03,6.53,6.04,4.59,-0.59,4.88,-1.98,3.34,0.37,-5.08
1972-12-01,1.11,1.25,-1.06,1.83,1.4,0.62,-1.89,-2.18,2.58,-2.14,0.37,4.95
1973-01-01,5.01,-5.39,-7.99,-14.82,-3.92,-3.28,-2.82,2.7,0.4,0.9,0.44,3.82
