,N,Mean (%),Std. dev. (%),Min (%),25th pct. (%),Median (%),75th pct. (%),Max (%),Skewness,Excess kurtosis,Shapiro (P-value)
Oil,756,1.03,6.0742,-34.65,-2.32,0.95,4.33,32.84,0.124,3.74,0.0
Banks,756,0.97,6.0558,-27.33,-2.3,1.04,4.77,24.98,-0.286,1.955,0.0
Txtls,756,0.93,7.6124,-36.02,-3.0,1.16,5.22,59.18,0.218,7.222,0.0
Toys,756,0.78,7.3271,-33.4,-3.82,1.02,5.51,27.7,-0.163,0.953,0.0017
Rtail,756,1.1,5.4027,-28.89,-2.06,0.88,4.35,27.14,-0.088,1.939,0.0
Mkt-RF,756,0.6,4.4631,-23.19,-1.96,1.02,3.43,16.1,-0.492,1.725,0.0
SMB,756,0.19,3.0232,-15.54,-1.58,0.03,1.94,18.46,0.358,3.06,0.0
HML,756,0.3,2.9683,-13.83,-1.43,0.22,1.76,12.86,0.091,2.177,0.0
RMW,756,0.24,2.2533,-18.95,-0.87,0.25,1.31,13.05,-0.38,10.574,0.0
CMA,756,0.25,2.0721,-7.08,-1.04,0.09,1.49,9.01,0.268,1.34,0.0
RF,756,0.36,0.2605,0.0,0.15,0.38,0.49,1.35,0.671,0.832,0.0
Mom,756,0.62,4.1795,-34.36,-0.98,0.72,2.91,18.05,-1.294,9.756,0.0
