,Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
0,Full,Oil,Monday,0.0786,-0.0906,-0.1692,-7.2652,0.0
1,Full,Banks,Monday,0.0817,-0.0785,-0.1602,-6.4122,0.0
2,Full,Txtls,Monday,0.0706,-0.1038,-0.1744,-7.4519,0.0
3,Full,Toys,Monday,0.081,-0.1117,-0.1927,-5.6618,0.0
4,Full,Rtail,Monday,0.073,-0.0682,-0.1412,-7.3438,0.0
5,1926-1962,Oil,Monday,0.0899,-0.1916,-0.2815,-8.3213,0.0
6,1926-1962,Banks,Monday,0.1014,-0.1419,-0.2433,-5.7497,0.0
7,1926-1962,Txtls,Monday,0.0769,-0.1818,-0.2587,-7.33,0.0
8,1926-1962,Toys,Monday,0.1151,-0.1985,-0.3136,-4.4663,0.0
9,1926-1962,Rtail,Monday,0.0755,-0.1382,-0.2137,-6.9379,0.0
10,1963-1977,Oil,Monday,0.0797,-0.1495,-0.2293,-6.4841,0.0
11,1963-1977,Banks,Monday,0.0548,-0.1346,-0.1894,-4.9146,0.0
12,1963-1977,Txtls,Monday,0.0565,-0.0855,-0.1419,-3.6162,0.0003
13,1963-1977,Toys,Monday,0.0688,-0.1947,-0.2635,-3.987,0.0001
14,1963-1977,Rtail,Monday,0.0685,-0.1471,-0.2156,-5.8929,0.0
15,1978-2002,Oil,Monday,0.0763,-0.0256,-0.1018,-2.2974,0.0216
16,1978-2002,Banks,Monday,0.0796,0.0062,-0.0734,-1.7898,0.0735
17,1978-2002,Txtls,Monday,0.0789,-0.0735,-0.1523,-3.7688,0.0002
18,1978-2002,Toys,Monday,0.0787,-0.0626,-0.1413,-2.6743,0.0075
19,1978-2002,Rtail,Monday,0.0873,-0.0386,-0.1258,-2.878,0.004
20,2003-present,Oil,Monday,0.0587,0.0369,-0.0218,-0.3274,0.7434
21,2003-present,Banks,Monday,0.0656,-0.035,-0.1006,-1.4931,0.1354
22,2003-present,Txtls,Monday,0.058,-0.0305,-0.0884,-1.3074,0.1911
23,2003-present,Toys,Monday,0.034,0.0191,-0.0149,-0.2429,0.8081
24,2003-present,Rtail,Monday,0.0557,0.059,0.0034,0.0811,0.9354
