,Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
0,Full,Oil,Jan,0.0488,0.0331,-0.0157,-0.5756,0.5649
1,Full,Banks,Jan,0.047,0.1091,0.0621,2.0145,0.044
2,Full,Txtls,Jan,0.0313,0.1171,0.0858,3.1425,0.0017
3,Full,Toys,Jan,0.0409,0.0963,0.0554,1.2377,0.2158
4,Full,Rtail,Jan,0.0458,0.0615,0.0157,0.6766,0.4987
5,Full,Oil,Feb,0.0493,0.0248,-0.0245,-0.8607,0.3894
6,Full,Banks,Feb,0.052,0.0555,0.0035,0.1132,0.9098
7,Full,Txtls,Feb,0.0361,0.0681,0.032,1.0939,0.274
8,Full,Toys,Feb,0.04,0.113,0.073,1.5667,0.1172
9,Full,Rtail,Feb,0.0464,0.0553,0.0089,0.3523,0.7246
10,Full,Oil,Mar,0.045,0.0729,0.0278,0.8621,0.3886
11,Full,Banks,Mar,0.0537,0.0368,-0.0169,-0.4679,0.6398
12,Full,Txtls,Mar,0.0438,-0.0171,-0.0609,-1.76,0.0784
13,Full,Toys,Mar,0.0436,0.0659,0.0222,0.4791,0.6319
14,Full,Rtail,Mar,0.045,0.0684,0.0233,0.9169,0.3592
15,Full,Oil,Apr,0.0413,0.1164,0.0751,2.4659,0.0137
16,Full,Banks,Apr,0.0504,0.0729,0.0225,0.6903,0.49
17,Full,Txtls,Apr,0.0337,0.0921,0.0584,1.7245,0.0846
18,Full,Toys,Apr,0.0435,0.0685,0.025,0.5703,0.5685
19,Full,Rtail,Apr,0.0453,0.0668,0.0215,0.8565,0.3917
20,Full,Oil,May,0.0503,0.017,-0.0333,-1.1798,0.2381
21,Full,Banks,May,0.0549,0.0239,-0.031,-0.9857,0.3243
22,Full,Txtls,May,0.0405,0.0165,-0.024,-0.789,0.4301
23,Full,Toys,May,0.0465,0.0359,-0.0106,-0.2014,0.8404
24,Full,Rtail,May,0.0486,0.031,-0.0176,-0.7379,0.4605
25,Full,Oil,Jun,0.0489,0.0318,-0.0172,-0.5822,0.5605
26,Full,Banks,Jun,0.0536,0.0378,-0.0158,-0.5094,0.6105
27,Full,Txtls,Jun,0.0405,0.0164,-0.0242,-0.7919,0.4284
28,Full,Toys,Jun,0.0502,-0.0046,-0.0548,-1.2261,0.2201
29,Full,Rtail,Jun,0.0466,0.0527,0.0062,0.2569,0.7973
30,Full,Oil,Jul,0.0455,0.0689,0.0234,0.8377,0.4022
31,Full,Banks,Jul,0.0494,0.0837,0.0344,1.1034,0.2699
32,Full,Txtls,Jul,0.0348,0.079,0.0442,1.2914,0.1966
33,Full,Toys,Jul,0.0463,0.0374,-0.0089,-0.2004,0.8412
34,Full,Rtail,Jul,0.0447,0.0728,0.0281,1.1866,0.2354
35,Full,Oil,Aug,0.0481,0.0411,-0.0069,-0.2593,0.7954
36,Full,Banks,Aug,0.05,0.0755,0.0255,0.8856,0.3758
37,Full,Txtls,Aug,0.0377,0.0467,0.009,0.321,0.7482
38,Full,Toys,Aug,0.0408,0.0961,0.0553,1.2986,0.1941
39,Full,Rtail,Aug,0.0456,0.0628,0.0172,0.695,0.4871
40,Full,Oil,Sep,0.054,-0.0271,-0.0811,-2.5057,0.0122
41,Full,Banks,Sep,0.0601,-0.037,-0.097,-2.7298,0.0063
42,Full,Txtls,Sep,0.0472,-0.0609,-0.1081,-3.2141,0.0013
43,Full,Toys,Sep,0.0526,-0.0352,-0.0879,-1.9098,0.0562
44,Full,Rtail,Sep,0.0541,-0.0337,-0.0878,-3.2287,0.0012
45,Full,Oil,Oct,0.0469,0.0535,0.0066,0.1789,0.858
46,Full,Banks,Oct,0.0548,0.0256,-0.0292,-0.7595,0.4475
