Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
Full,Oil,Monday,0.0705,-0.0316,-0.102,-3.2503,0.0012
Full,Banks,Monday,0.0687,-0.0419,-0.1106,-3.5579,0.0004
Full,Txtls,Monday,0.0659,-0.0605,-0.1264,-4.0659,0.0
Full,Toys,Monday,0.0597,-0.0634,-0.1231,-3.5619,0.0004
Full,Rtail,Monday,0.0712,-0.028,-0.0992,-4.0076,0.0001
1963-1977,Oil,Monday,0.0797,-0.1495,-0.2293,-6.4841,0.0
1963-1977,Banks,Monday,0.0548,-0.1346,-0.1894,-4.9146,0.0
1963-1977,Txtls,Monday,0.0565,-0.0855,-0.1419,-3.6162,0.0003
1963-1977,Toys,Monday,0.0688,-0.1947,-0.2635,-3.987,0.0001
1963-1977,Rtail,Monday,0.0685,-0.1471,-0.2156,-5.8929,0.0
1978-2002,Oil,Monday,0.0763,-0.0256,-0.1018,-2.2974,0.0216
1978-2002,Banks,Monday,0.0796,0.0062,-0.0734,-1.7898,0.0735
1978-2002,Txtls,Monday,0.0789,-0.0735,-0.1523,-3.7688,0.0002
1978-2002,Toys,Monday,0.0787,-0.0626,-0.1413,-2.6743,0.0075
1978-2002,Rtail,Monday,0.0873,-0.0386,-0.1258,-2.878,0.004
2003-present,Oil,Monday,0.0587,0.0369,-0.0218,-0.3274,0.7434
2003-present,Banks,Monday,0.0656,-0.035,-0.1006,-1.4931,0.1354
2003-present,Txtls,Monday,0.058,-0.0305,-0.0884,-1.3074,0.1911
2003-present,Toys,Monday,0.034,0.0191,-0.0149,-0.2429,0.8081
2003-present,Rtail,Monday,0.0557,0.059,0.0034,0.0811,0.9354
