Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
Full,Oil,Jan,0.0518,0.0424,-0.0095,-0.2402,0.8102
Full,Banks,Jan,0.0458,0.0681,0.0222,0.5455,0.5854
Full,Txtls,Jan,0.0369,0.0976,0.0608,1.6013,0.1093
Full,Toys,Jan,0.0295,0.111,0.0815,1.7969,0.0723
Full,Rtail,Jan,0.0499,0.0793,0.0294,0.9108,0.3624
Full,Oil,Feb,0.0513,0.0483,-0.003,-0.0781,0.9377
Full,Banks,Feb,0.0501,0.0183,-0.0318,-0.8262,0.4087
Full,Txtls,Feb,0.0384,0.0847,0.0464,1.126,0.2602
Full,Toys,Feb,0.0311,0.0989,0.0678,1.459,0.1446
Full,Rtail,Feb,0.0513,0.0639,0.0126,0.3806,0.7035
Full,Oil,Mar,0.0482,0.0808,0.0326,0.7041,0.4814
Full,Banks,Mar,0.0476,0.0478,0.0002,0.0033,0.9973
Full,Txtls,Mar,0.0441,0.0184,-0.0257,-0.5158,0.606
Full,Toys,Mar,0.0349,0.05,0.0151,0.3201,0.7489
Full,Rtail,Mar,0.0465,0.113,0.0665,1.9513,0.051
Full,Oil,Apr,0.0444,0.1258,0.0814,2.0123,0.0442
Full,Banks,Apr,0.0435,0.0945,0.051,1.2032,0.2289
Full,Txtls,Apr,0.0316,0.1571,0.1256,2.647,0.0081
Full,Toys,Apr,0.031,0.0954,0.0644,1.3796,0.1677
Full,Rtail,Apr,0.0498,0.0806,0.0308,0.9146,0.3604
Full,Oil,May,0.0526,0.0342,-0.0184,-0.5,0.6171
Full,Banks,May,0.0497,0.0257,-0.0239,-0.6535,0.5134
Full,Txtls,May,0.0441,0.0179,-0.0261,-0.6524,0.5142
Full,Toys,May,0.0366,0.0322,-0.0044,-0.1018,0.9189
Full,Rtail,May,0.0533,0.0414,-0.0119,-0.3982,0.6905
Full,Oil,Jun,0.0551,0.0072,-0.0479,-1.271,0.2037
Full,Banks,Jun,0.0509,0.0123,-0.0386,-1.1305,0.2583
Full,Txtls,Jun,0.0485,-0.0296,-0.0781,-1.9894,0.0467
Full,Toys,Jun,0.04,-0.0044,-0.0444,-1.0902,0.2756
Full,Rtail,Jun,0.054,0.0337,-0.0203,-0.7142,0.4751
Full,Oil,Jul,0.0524,0.0367,-0.0157,-0.4367,0.6624
Full,Banks,Jul,0.0449,0.077,0.032,0.8719,0.3833
Full,Txtls,Jul,0.0414,0.0473,0.0059,0.1297,0.8968
Full,Toys,Jul,0.0378,0.0196,-0.0182,-0.4202,0.6743
Full,Rtail,Jul,0.0529,0.0456,-0.0074,-0.2412,0.8094
Full,Oil,Aug,0.052,0.0417,-0.0102,-0.2837,0.7766
Full,Banks,Aug,0.05,0.0231,-0.0269,-0.7436,0.4571
Full,Txtls,Aug,0.0435,0.0253,-0.0182,-0.4719,0.637
Full,Toys,Aug,0.0359,0.04,0.0041,0.0975,0.9223
Full,Rtail,Aug,0.0547,0.0268,-0.0279,-0.8335,0.4046
Full,Oil,Sep,0.0536,0.0218,-0.0318,-0.7917,0.4286
Full,Banks,Sep,0.0535,-0.0189,-0.0724,-1.666,0.0957
Full,Txtls,Sep,0.0521,-0.0742,-0.1263,-3.0827,0.0021
Full,Toys,Sep,0.0445,-0.058,-0.1025,-2.3378,0.0194
Full,Rtail,Sep,0.0586,-0.0194,-0.078,-2.3269,0.02
Full,Oil,Oct,0.0514,0.048,-0.0034,-0.0676,0.9461
Full,Banks,Oct,0.0469,0.0561,0.0092,0.2051,0.8375
Full,Txtls,Oct,0.0493,-0.0351,-0.0844,-1.7298,0.0837
Full,Toys,Oct,0.0384,0.0137,-0.0247,-0.4655,0.6416
Full,Rtail,Oct,0.0543,0.0314,-0.0228,-0.5461,0.585
Full,Oil,Nov,0.0493,0.0715,0.0222,0.4837,0.6286
Full,Banks,Nov,0.0448,0.0802,0.0353,0.8186,0.413
Full,Txtls,Nov,0.0379,0.0876,0.0497,1.1373,0.2554
Full,Toys,Nov,0.0315,0.0909,0.0594,1.2386,0.2155
Full,Rtail,Nov,0.0462,0.1216,0.0754,2.1724,0.0298
Full,Oil,Dec,0.0507,0.0554,0.0047,0.1322,0.8949
Full,Banks,Dec,0.0442,0.0859,0.0418,1.1139,0.2653
Full,Txtls,Dec,0.0351,0.1159,0.0807,2.1492,0.0316
Full,Toys,Dec,0.0438,-0.0466,-0.0904,-2.1247,0.0336
Full,Rtail,Dec,0.056,0.012,-0.0439,-1.4643,0.1431
1963-1977,Oil,Jan,0.0358,0.0272,-0.0087,-0.1625,0.8709
1963-1977,Banks,Jan,0.0104,0.103,0.0926,1.8407,0.0657
1963-1977,Txtls,Jan,0.0088,0.2539,0.2451,4.1711,0.0
1963-1977,Toys,Jan,-0.0031,0.2501,0.2532,2.9192,0.0035
1963-1977,Rtail,Jan,0.0167,0.1376,0.1209,2.159,0.0308
1963-1977,Oil,Feb,0.0421,-0.0526,-0.0946,-1.8429,0.0653
1963-1977,Banks,Feb,0.0198,-0.0047,-0.0245,-0.486,0.627
1963-1977,Txtls,Feb,0.0289,0.0288,-0.0,-0.0006,0.9995
1963-1977,Toys,Feb,0.0131,0.074,0.0609,0.6721,0.5015
1963-1977,Rtail,Feb,0.0234,0.0672,0.0438,0.8997,0.3683
1963-1977,Oil,Mar,0.0362,0.0231,-0.0131,-0.2896,0.7722
1963-1977,Banks,Mar,0.0136,0.0661,0.0525,1.1822,0.2371
1963-1977,Txtls,Mar,0.0293,0.0244,-0.0048,-0.1004,0.92
1963-1977,Toys,Mar,0.008,0.122,0.114,1.2393,0.2152
1963-1977,Rtail,Mar,0.0236,0.0589,0.0352,0.7638,0.445
1963-1977,Oil,Apr,0.0342,0.0458,0.0116,0.2661,0.7902
1963-1977,Banks,Apr,0.0226,-0.0343,-0.0569,-1.1828,0.2369
1963-1977,Txtls,Apr,0.026,0.0617,0.0357,0.7645,0.4445
1963-1977,Toys,Apr,0.0147,0.0508,0.0361,0.4311,0.6664
1963-1977,Rtail,Apr,0.0253,0.0421,0.0168,0.3482,0.7277
1963-1977,Oil,May,0.0354,0.0321,-0.0033,-0.0586,0.9533
1963-1977,Banks,May,0.0304,-0.1219,-0.1523,-2.797,0.0052
1963-1977,Txtls,May,0.0422,-0.122,-0.1642,-2.9775,0.0029
1963-1977,Toys,May,0.0299,-0.1223,-0.1522,-1.4862,0.1372
